ID,Product Name,Product Description,Price,Color,Product Type,Occasion,Skin Tone Category
EET23203T,Contemporary Kameez,Yarn Dyed | Cotton Polyester Broshia Jacquard,3190,OFF-WHITE,Top,Casual,Light/Fair
EET23313,Contemporary Kameez,Dyed | Cotton Cottel,4190,RED,Top,Casual,Deep/Dark
EES23510,Shawl,Yarn Dyed Embroidered | Rashmina Acrylic,3190,RUST,Accessory,Formal,Deep/Dark
EES24205,Dupatta,Printed | Lawn,1990,MULTI,Accessory,Casual,Deep/Dark
ESS23410,Dupatta,Yarn Dyed Embroidered | Cotton Polyester Broshia Jacquard,3990,GREEN,Accessory,Formal,Deep/Dark
EES23515,Dupatta,Printed Embroidered | Light Khaddar,2490,RUST,Accessory,Casual,Deep/Dark
EES24120,Dupatta,Dyed | Lawn,1990,MULTI,Accessory,Casual,Deep/Dark
EES23517,Dupatta,Printed | Light Khaddar,1990,BLACK,Accessory,Casual,Deep/Dark
EES23509,Stole,Yarn Dyed Embroidered | Rashmina Acrylic,1990,GREEN,Accessory,Formal,Deep/Dark
EES23513,Dupatta,Printed | Light Khaddar,1990,BEIGE,Accessory,Casual,Light/Fair
EES24121,Dupatta,Dyed | Lawn,1990,MULTI,Accessory,Casual,Deep/Dark
ESS23416,Dupatta,Yarn Dyed Printed | Polyester Net,3190,RED,Accessory,Casual,Deep/Dark
ESS23415,Dupatta,Yarn Dyed Printed | Polyester Net,2990,MULTI,Accessory,Casual,Deep/Dark
ESS23411,Dupatta,Dyed Embroidered | Viscose Polyester Net,3990,PURPLE,Accessory,Formal,Deep/Dark
EEB24134,Straight Pants,Printed | Cambric,1490,MULTI,Bottom,Casual,Deep/Dark
